club_id,name,pretty_name,domestic_competition_id,total_market_value,squad_size,average_age,foreigners_number,foreigners_percentage,national_team_players,stadium_name,stadium_seats,net_transfer_record,coach_name,url
1429,cesena-fc,Cesena Fc,IT1,5.09,30,24.0,3,10.0,1,"Orogel Stadium ""Dino Manuzzi""",23860,+£180Th.,Pierpaolo Bisoli,https://www.transfermarkt.co.uk/cesena-fc/startseite/verein/1429
5220,gs-ergotelis,Gs Ergotelis,GR1,3.62,30,22.7,11,36.7,1,Pankritio Stadio,25780,+-0,Juan Ferrando,https://www.transfermarkt.co.uk/gs-ergotelis/startseite/verein/5220
20698,balikesirspor,Balikesirspor,TR1,2.21,33,25.5,9,27.3,1,Balıkesir Atatürk,15800,+-0,Ismail Ertekin,https://www.transfermarkt.co.uk/balikesirspor/startseite/verein/20698
6894,kayseri-erciyesspor,Kayseri Erciyesspor,TR1,,0,0.0,0,,0,Kayseri Atatürk Spor Kompleksi Yan Açık Saha,2000,+-0,Hikmet Karaman,https://www.transfermarkt.co.uk/kayseri-erciyesspor/startseite/verein/6894
5572,niki-volou,Niki Volou,GR1,3.38,26,27.9,6,23.1,1,Panthessaliko Stadio,22700,+-0,Wiljan Vloet,https://www.transfermarkt.co.uk/niki-volou/startseite/verein/5572
20100,fc-vestsjaelland,Fc Vestsjaelland,DK1,,0,0.0,0,,0,Harboe Arena,10000,+-0,Michael Hansen,https://www.transfermarkt.co.uk/fc-vestsjaelland/startseite/verein/20100
2783,metalurg-donetsk,Metalurg Donetsk,UKR1,,0,0.0,0,,0,Metalurg,5090,+-0,Volodymyr Pyatenko,https://www.transfermarkt.co.uk/metalurg-donetsk/startseite/verein/2783
1455,fc-dordrecht,Fc Dordrecht,NL1,3.51,25,23.1,9,36.0,0,Riwal Hoogwerkers Stadion,4235,+-0,Ernie Brandts,https://www.transfermarkt.co.uk/fc-dordrecht/startseite/verein/1455
3302,ud-almeria,Ud Almeria,ES1,51.84,24,25.9,10,41.7,1,Estadio de los Juegos Mediterráneos,15274,£-4.82m,Francisco Rodríguez,https://www.transfermarkt.co.uk/ud-almeria/startseite/verein/3302
993,fc-cordoba,Fc Cordoba,ES1,2.81,23,27.0,1,4.3,0,Nuevo Arcángel,21822,+£270Th.,Albert Ferrer,https://www.transfermarkt.co.uk/fc-cordoba/startseite/verein/993
1186,torpedo-moskau,Torpedo Moskau,RU1,7.97,25,26.8,3,12.0,1,"Sportivniy Gorodok, Luzhniki",1872,£-36Th.,Nikolay Savichev,https://www.transfermarkt.co.uk/torpedo-moskau/startseite/verein/1186
1039,queens-park-rangers,Queens Park Rangers,GB1,30.96,24,26.8,15,62.5,6,Kiyan Prince Foundation Stadium,18360,£-1.67m,Harry Redknapp,https://www.transfermarkt.co.uk/queens-park-rangers/startseite/verein/1039
204,lierse-sk,Lierse Sk,BE1,,0,0.0,0,,0,Herman Vanderpoortenstadion,14538,+-0,Stanley Menzo,https://www.transfermarkt.co.uk/lierse-sk/startseite/verein/204
3327,fc-penafiel,Fc Penafiel,PO1,4.37,26,27.7,5,19.2,0,Estádio Municipal 25 de Abril,5230,+-0,Ricardo Chéu,https://www.transfermarkt.co.uk/fc-penafiel/startseite/verein/3327
14171,thonon-evian-grand-geneve-fc,Thonon Evian Grand Geneve Fc,FR1,1.69,20,26.2,5,25.0,1,Stade Joseph-Moynat,0,+-0,Pascal Dupraz,https://www.transfermarkt.co.uk/thonon-evian-grand-geneve-fc/startseite/verein/14171
6996,goverla-uzhgorod,Goverla Uzhgorod,UKR1,,0,0.0,0,,0,Avangard,10640,+-0,Vyacheslav Groznyi,https://www.transfermarkt.co.uk/goverla-uzhgorod/startseite/verein/6996
6994,metalurg-zaporizhya-bis-2016-,Metalurg Zaporizhya Bis 2016 ,UKR1,,0,0.0,0,,0,ZAZ Stadion,15000,+-0,Anatoliy Chantsev,https://www.transfermarkt.co.uk/metalurg-zaporizhya-bis-2016-/startseite/verein/6994
